latitude,longitude,e2008g_N,e2008g_n,p
40.3028,-74.6497,2,2,1
40.3046,-74.6497,2,2,1
40.3312,-74.6497,2,0,0
40.2898,-74.6496,2,2,1
40.2899,-74.6496,4,4,1
40.2901,-74.6496,7,5,0.714285714
40.2921,-74.6496,2,2,1
40.3011,-74.6496,2,2,1
40.3014,-74.6496,4,2,0.5
40.3017,-74.6496,3,0,0
40.3065,-74.6496,2,2,1
40.3279,-74.6496,2,2,1
40.2513,-74.6495,1,0,0
40.2829,-74.6495,2,2,1
40.2859,-74.6495,2,1,0.5
40.2864,-74.6495,1,0,0
40.29,-74.6495,1,0,0
40.3048,-74.6495,1,0,0
40.2511,-74.6494,2,2,1
40.2833,-74.6494,2,1,0.5
40.2849,-74.6494,2,2,1
40.2859,-74.6494,3,2,0.666666667
40.33,-74.6494,2,2,1
40.3308,-74.6494,3,3,1
40.331,-74.6494,2,2,1
40.2829,-74.6493,3,0,0
40.2833,-74.6493,2,2,1
40.2849,-74.6493,2,2,1
40.2859,-74.6493,1,1,1
40.2864,-74.6493,2,2,1
40.3278,-74.6493,1,1,1
40.33,-74.6493,1,1,1
40.3301,-74.6493,3,0,0
40.2829,-74.6492,2,2,1
40.2854,-74.6492,3,2,0.666666667
40.292,-74.6492,2,2,1
40.2922,-74.6492,2,2,1
40.3301,-74.6492,2,2,1
40.3307,-74.6492,2,2,1
40.2854,-74.6491,3,3,1
40.2865,-74.6491,2,2,1
40.3041,-74.6491,2,2,1
40.3044,-74.6491,2,0,0
40.3049,-74.6491,2,2,1
40.3302,-74.6491,4,4,1
40.2829,-74.649,1,0,0
40.2835,-74.649,1,1,1
40.2836,-74.649,2,2,1
40.285,-74.649,3,1,0.333333333
40.2855,-74.649,1,1,1
40.2895,-74.649,3,2,0.666666667
40.2917,-74.649,3,2,0.666666667
40.2919,-74.649,2,2,1
40.3026,-74.649,2,1,0.5
40.3303,-74.649,9,9,1
40.2829,-74.6489,2,2,1
40.285,-74.6489,2,0,0
40.2865,-74.6489,2,2,1
40.2896,-74.6489,1,1,1
40.301,-74.6489,1,1,1
40.3015,-74.6489,1,0,0
40.3017,-74.6489,2,2,1
40.3019,-74.6489,1,0,0
40.3276,-74.6489,2,1,0.5
40.3304,-74.6489,6,4,0.666666667
40.2851,-74.6488,1,1,1
40.2937,-74.6488,2,0,0
40.3049,-74.6488,1,1,1
40.3273,-74.6488,2,2,1
40.2851,-74.6487,2,2,1
40.2856,-74.6487,3,2,0.666666667
40.2861,-74.6487,1,1,1
40.2914,-74.6487,2,2,1
40.2937,-74.6487,3,2,0.666666667
40.3026,-74.6487,2,2,1
40.3272,-74.6487,5,4,0.8
40.3274,-74.6487,4,3,0.75
40.3303,-74.6487,1,1,1
40.2829,-74.6486,3,3,1
40.2851,-74.6486,2,2,1
40.2861,-74.6486,2,2,1
40.2938,-74.6486,8,4,0.5
40.301,-74.6486,2,2,1
40.305,-74.6486,3,2,0.666666667
40.3071,-74.6486,2,2,1
40.2829,-74.6485,2,2,1
40.2852,-74.6485,2,2,1
40.2857,-74.6485,3,2,0.666666667
40.2858,-74.6485,2,0,0
40.2912,-74.6485,2,2,1
40.2938,-74.6485,3,2,0.666666667
40.3015,-74.6485,2,2,1
40.3017,-74.6485,1,1,1
40.3019,-74.6485,1,0,0
40.283,-74.6484,3,2,0.666666667
40.2838,-74.6484,3,1,0.333333333
40.2861,-74.6484,2,0,0
40.2893,-74.6484,1,1,1
40.2912,-74.6484,3,3,1
40.2937,-74.6484,5,3,0.6
40.2837,-74.6483,3,1,0.333333333
40.2865,-74.6483,1,1,1
40.305,-74.6483,2,1,0.5
40.2837,-74.6482,1,1,1
40.291,-74.6482,3,3,1
40.2833,-74.6481,2,0,0
40.2853,-74.6481,2,0,0
40.3026,-74.6481,2,2,1
40.3298,-74.6481,1,1,1
40.2854,-74.648,2,2,1
40.2855,-74.648,1,1,1
40.3045,-74.648,1,0,0
40.3018,-74.6479,4,2,0.5
40.2858,-74.6478,2,0,0
40.2861,-74.6478,2,0,0
40.2892,-74.6478,2,1,0.5
40.305,-74.6477,4,2,0.5
40.2908,-74.6476,2,2,1
40.3015,-74.6476,1,1,1
40.3019,-74.6476,1,0,0
40.2513,-74.6475,1,1,1
40.3057,-74.6475,1,1,1
40.3064,-74.6475,2,2,1
40.296,-74.6474,2,2,1
40.301,-74.6474,2,2,1
40.3023,-74.6474,2,2,1
40.3058,-74.6474,2,2,1
40.3062,-74.6474,1,1,1
40.3066,-74.6474,3,2,0.666666667
40.2511,-74.6473,3,2,0.666666667
40.2891,-74.6473,2,0,0
40.3051,-74.6473,2,1,0.5
40.3058,-74.6473,1,0,0
40.3066,-74.6473,1,0,0
40.2513,-74.6472,4,3,0.75
40.2893,-74.6472,1,0,0
40.3025,-74.6472,2,2,1
40.3059,-74.6472,1,0,0
