latitude,longitude,e2008g_N,e2008g_n,p
40.3236,-74.5561,5,3,0.6
40.3243,-74.5561,8,6,0.75
40.3269,-74.5561,11,5,0.454545455
40.327,-74.5561,2,0,0
40.3334,-74.5561,2,1,0.5
40.3238,-74.556,7,3,0.428571429
40.324,-74.556,8,3,0.375
40.3269,-74.556,11,6,0.545454545
40.3332,-74.556,4,3,0.75
40.3236,-74.5559,12,11,0.916666667
40.3239,-74.5559,1,1,1
40.324,-74.5559,4,4,1
40.3242,-74.5559,4,3,0.75
40.3267,-74.5559,2,1,0.5
40.3269,-74.5559,2,1,0.5
40.3238,-74.5558,3,2,0.666666667
40.3239,-74.5558,3,2,0.666666667
40.324,-74.5558,5,2,0.4
40.3268,-74.5558,1,0,0
40.3269,-74.5558,1,1,1
40.3283,-74.5558,4,3,0.75
40.3322,-74.5558,3,3,1
40.3334,-74.5558,4,4,1
40.3238,-74.5557,2,2,1
40.3239,-74.5557,3,3,1
40.3283,-74.5557,2,0,0
40.324,-74.5556,7,3,0.428571429
40.3268,-74.5556,1,1,1
40.3282,-74.5556,3,2,0.666666667
40.3333,-74.5556,1,1,1
40.3242,-74.5555,11,7,0.636363636
40.3245,-74.5555,7,7,1
40.3247,-74.5555,7,4,0.571428571
40.3267,-74.5555,6,1,0.166666667
40.3268,-74.5555,1,0,0
40.3282,-74.5555,1,1,1
40.332,-74.5555,1,1,1
40.3322,-74.5555,2,2,1
40.3244,-74.5554,8,4,0.5
40.3247,-74.5554,14,11,0.785714286
40.3267,-74.5554,2,2,1
40.3282,-74.5554,1,1,1
40.3334,-74.5554,3,2,0.666666667
40.3246,-74.5553,4,3,0.75
40.3249,-74.5553,12,7,0.583333333
40.3267,-74.5553,1,1,1
40.3336,-74.5553,2,0,0
40.3247,-74.5552,4,2,0.5
40.3251,-74.5552,2,2,1
40.3266,-74.5552,2,2,1
40.3282,-74.5552,4,3,0.75
40.3321,-74.5552,2,2,1
40.3249,-74.5551,10,7,0.7
40.3251,-74.5551,5,3,0.6
40.3252,-74.5551,2,1,0.5
40.3282,-74.5551,2,2,1
40.3335,-74.5551,4,3,0.75
40.325,-74.555,3,3,1
40.3253,-74.555,3,3,1
40.3265,-74.555,1,1,1
40.3282,-74.555,3,2,0.666666667
40.3254,-74.5549,3,2,0.666666667
40.3282,-74.5549,1,1,1
40.332,-74.5549,2,2,1
40.3255,-74.5548,6,3,0.5
40.3264,-74.5548,1,0,0
40.3265,-74.5548,2,2,1
40.3283,-74.5548,10,6,0.6
40.3256,-74.5547,8,8,1
40.3264,-74.5547,1,0,0
40.3261,-74.5546,8,6,0.75
40.3263,-74.5546,2,0,0
40.3264,-74.5546,1,1,1
40.3319,-74.5546,2,2,1
40.3341,-74.5546,3,3,1
40.3257,-74.5545,2,1,0.5
40.3261,-74.5545,6,4,0.666666667
40.3263,-74.5545,7,5,0.714285714
40.3283,-74.5545,8,6,0.75
40.3339,-74.5545,2,2,1
40.3257,-74.5544,1,0,0
40.3261,-74.5544,8,1,0.125
40.3262,-74.5544,3,3,1
40.3263,-74.5544,17,8,0.470588235
40.3283,-74.5544,3,3,1
40.3317,-74.5544,1,0,0
40.326,-74.5543,10,6,0.6
40.3262,-74.5543,28,19,0.678571429
40.3319,-74.5543,3,2,0.666666667
40.334,-74.5543,2,1,0.5
40.3259,-74.5542,4,1,0.25
40.326,-74.5542,12,6,0.5
40.3262,-74.5542,18,11,0.611111111
40.3259,-74.5541,3,2,0.666666667
40.326,-74.5541,9,2,0.222222222
40.3261,-74.5541,14,11,0.785714286
40.3262,-74.5541,1,1,1
40.3283,-74.5541,5,1,0.2
40.3261,-74.554,15,11,0.733333333
40.3318,-74.554,2,2,1
40.3342,-74.554,2,0,0
40.3344,-74.554,3,1,0.333333333
40.3345,-74.554,9,7,0.777777778
40.3346,-74.554,10,8,0.8
40.3261,-74.5539,3,2,0.666666667
40.3283,-74.5539,3,2,0.666666667
40.3344,-74.5539,3,3,1
40.3345,-74.5539,2,1,0.5
40.326,-74.5538,3,3,1
40.3283,-74.5538,2,0,0
40.3345,-74.5538,8,4,0.5
40.326,-74.5537,5,3,0.6
40.3283,-74.5537,4,2,0.5
40.3315,-74.5537,5,4,0.8
40.3316,-74.5537,6,5,0.833333333
40.3318,-74.5537,3,2,0.666666667
40.3259,-74.5536,4,3,0.75
40.3314,-74.5536,9,7,0.777777778
40.3315,-74.5536,6,5,0.833333333
40.3316,-74.5536,2,2,1
40.3317,-74.5536,2,0,0
40.3259,-74.5535,1,1,1
40.3283,-74.5535,2,0,0
40.3317,-74.5535,3,2,0.666666667
40.3259,-74.5534,3,2,0.666666667
40.3283,-74.5534,2,2,1
40.3283,-74.5533,6,4,0.666666667
40.3345,-74.5533,3,2,0.666666667
40.3257,-74.5532,2,2,1
40.3283,-74.5532,1,1,1
40.3315,-74.5532,1,0,0
40.3317,-74.5532,2,1,0.5
40.3347,-74.5532,5,4,0.8
40.3256,-74.5531,4,2,0.5
40.3283,-74.5531,3,0,0
40.3345,-74.5531,6,5,0.833333333
40.3346,-74.5531,11,7,0.636363636
40.3348,-74.5531,2,0,0
40.3256,-74.553,2,1,0.5
40.3345,-74.553,3,2,0.666666667
40.3346,-74.553,7,7,1
40.3282,-74.5529,2,0,0
40.3344,-74.5529,4,0,0
40.3345,-74.5529,2,0,0
40.3281,-74.5528,1,1,1
40.3314,-74.5528,1,1,1
40.3316,-74.5528,2,2,1
40.3281,-74.5527,4,2,0.5
40.3348,-74.5527,3,2,0.666666667
40.3349,-74.5527,5,3,0.6
40.335,-74.5527,5,5,1
40.3351,-74.5527,5,4,0.8
40.3307,-74.5526,2,2,1
40.328,-74.5525,1,0,0
40.3305,-74.5525,2,2,1
40.331,-74.5525,2,2,1
40.3311,-74.5525,3,2,0.666666667
40.3314,-74.5525,3,1,0.333333333
40.3316,-74.5525,2,2,1
40.3349,-74.5525,2,2,1
40.335,-74.5525,6,6,1
40.3351,-74.5525,2,2,1
40.328,-74.5524,9,3,0.333333333
40.3279,-74.5523,1,0,0
40.3306,-74.5523,3,2,0.666666667
40.3315,-74.5523,3,3,1
40.3304,-74.5522,2,2,1
40.3349,-74.5522,1,1,1
40.3278,-74.5521,1,1,1
40.3351,-74.5521,2,1,0.5
40.3264,-74.552,1,0,0
40.3278,-74.552,1,0,0
40.3315,-74.552,3,2,0.666666667
40.3265,-74.5519,3,1,0.333333333
40.3303,-74.5519,2,2,1
40.3314,-74.5519,4,2,0.5
40.3277,-74.5518,2,0,0
40.335,-74.5518,3,2,0.666666667
40.3352,-74.5518,3,0,0
40.3277,-74.5517,1,1,1
40.3267,-74.5516,2,2,1
40.3268,-74.5516,2,1,0.5
40.3302,-74.5516,3,3,1
40.3304,-74.5516,1,1,1
40.3316,-74.5516,2,0,0
40.3268,-74.5515,1,1,1
40.3276,-74.5515,1,1,1
40.3352,-74.5515,2,2,1
40.3351,-74.5514,2,2,1
40.3301,-74.5513,4,4,1
40.3302,-74.5513,1,1,1
40.3303,-74.5513,2,0,0
40.3301,-74.5512,3,2,0.666666667
40.3302,-74.5512,5,3,0.6
40.3303,-74.5512,6,5,0.833333333
40.3304,-74.5512,2,0,0
40.3305,-74.5512,4,3,0.75
40.3316,-74.5512,2,2,1
